feature_1,feature_2,ale2_rms,empty_cells,min_cell_n,max_cell_n
wave_period,draft,0.09318640192009184,2,0,1496
wave_period,chamber_width,0.07441963700917872,0,80,1111
chamber_width,opening_ratio,0.03297582336358628,0,33,3637
wave_amplitude,opening_ratio,0.02987000964613298,0,30,3207
opening_ratio,artificial_damping,0.023122800489626692,0,31,2223
wave_amplitude,chamber_width,0.020030755776481775,0,39,3330
draft,chamber_width,0.019698625625759365,10,0,4297
wave_period,opening_ratio,0.019565611743988947,0,37,1470
opening_ratio,quadratic_damping,0.016817098079886534,0,8,2155
wave_period,artificial_damping,0.013536749122371149,0,126,449
chamber_width,quadratic_damping,0.012850352582633374,0,22,1179
wave_amplitude,artificial_damping,0.010073128757692644,0,34,1111
draft,artificial_damping,0.009389616892381185,0,32,1362
wave_amplitude,quadratic_damping,0.008977875247814286,0,11,982
chamber_width,artificial_damping,0.008872283206551724,0,50,1396
wave_period,wave_amplitude,0.008455751446584135,1,0,1132
quadratic_damping,artificial_damping,0.007559835332115477,0,27,588
wave_period,front_wall_thickness,0.007462309248022974,7,0,1298
draft,opening_ratio,0.006079207436283391,12,0,5203
wave_period,quadratic_damping,0.005152810362967955,0,103,434
wave_amplitude,draft,0.0023011202169362934,7,0,2956
front_wall_thickness,chamber_width,0.0021015216621191753,12,0,4894
draft,quadratic_damping,0.0019713770719360646,0,37,1601
front_wall_thickness,opening_ratio,0.0017490549216534273,12,0,4718
front_wall_thickness,artificial_damping,0.0013550769055551849,0,3,1411
draft,front_wall_thickness,0.0011420695097805842,24,0,5500
wave_amplitude,front_wall_thickness,0.0005922591272512368,9,0,3247
front_wall_thickness,quadratic_damping,0.0005810682146827553,0,2,1502
